EPCI;LIBEPCI;DEP
200071017;Communauté de communes des Terres d'Auxois;21
242101459;Communauté de communes du Pays d'Alésia et de la Seine;21
200071173;Communauté de communes du Pays Arnay Liernais;21
200006682;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;21
200071207;Communauté de communes de Pouilly-en-Auxois/Bligny-sur-Ouche;21
200072825;Communauté de communes Mirebellois et Fontenois;21
200069540;Communauté de communes Norge et Tille;21
242101491;Communauté de communes du Montbardois;21
200070902;Communauté de communes Auxonne Pontailler Val de Saône;21
242101509;Communauté de communes Rives de Saône;21
242100154;Communauté de communes des Vallées de la Tille et de l'Ignon;21
200070910;Communauté de communes Tille et Venelle;21
200039063;Communauté de communes Forêts, Seine et Suzon;21
242101442;Communauté de communes Saulieu-Morvan;21
200067460;Communauté de communes Loudéac Communauté - Bretagne Centre;22
200069391;Communauté d'agglomération Lamballe Terre et Mer;22
200068989;Communauté d'agglomération Dinan Agglomération;22
200067981;Communauté d'agglomération Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;22
200065928;Communauté d'agglomération Lannion-Trégor Communauté;22
200069409;Communauté d'agglomération Saint-Brieuc Armor Agglomération;22
200069086;Communauté de communes Leff Armor Communauté;22
242200715;Communauté de communes du Kreiz-Breizh (CCKB);22
200067189;Creuse Sud Ouest;23
200034825;Communauté d'agglomération du Grand Guéret;23
200044014;Communauté de communes Creuse Grand Sud;23
200067593;Communauté de communes Marche et Combraille en Aquitaine;23
242320000;Communauté de communes de Bénévent Grand Bourg;23
242300135;Communauté de communes du Pays Sostranien;23
200041556;Communauté de communes Portes de la Creuse en Marche;23
242320109;Communauté de communes du Pays Dunois;23
200071819;Communauté de communes du Périgord Nontronnais;24
200040392;Communauté d'agglomération Le Grand Périgueux;24
200041150;Communauté de communes Terrassonnais Haut Périgord Noir;24
200034833;Communauté de communes des Bastides Dordogne-Périgord;24
200041051;Communauté de communes Vallée de la Dordogne et Forêt Bessède;24
200040400;Communauté de communes du Périgord Ribéracois;24
242401024;Communauté de communes Isle-Loue-Auvézère en Périgord;24
200040830;Communauté de communes du Pays de Fénelon;24
200041168;Communauté de communes de la Vallée de l'Homme;24
200040889;Communauté de communes de Portes Sud Périgord;24
200069094;Communauté de communes Isle et Crempse en Périgord;24
200040095;Communauté de communes Isle Vern Salembre en Périgord;24
200070647;Communauté d'agglomération Bergeracoise;24
200041440;Communauté de communes de Domme-Villefranche du Périgord;24
200027217;Communauté de communes Sarlat-Périgord Noir;24
200041572;Communauté de communes Dronne et Belle;24
200034197;Communauté de communes de Montaigne Montravel et Gurson;24
242400752;Communauté de communes Périgord-Limousin;24
200040384;Communauté de communes Isle Double Landais;24
242400935;Communauté de communes du Pays de Saint-Aulaye;24
200068070;Communauté de communes Loue-Lison;25
200068294;Communauté de communes des Deux Vallées Vertes;25
200065647;Communauté d'agglomération Pays de Montbéliard Agglomération;25
242504447;Communauté de communes du Doubs Baumois;25
242504181;Communauté de communes des Portes du Haut-Doubs;25
242500320;Communauté de communes entre Doubs et Loue;25
242500361;Communauté urbaine Grand Besançon Métropole;25
242504488;Communauté de communes Altitude 800;25
242504496;Communauté de communes du Plateau de Frasne et du Val du Drugeon (CFD);25
242504355;Communauté de communes du Plateau de Russey;25
200023075;Communauté de communes du Pays de Maîche;25
242504116;Communauté de communes du Val de Morteau;25
242504371;Communauté de communes du Pays de Sancey-Belleherbe;25
200069565;Communauté de communes des Lacs et Montagnes du Haut-Doubs;25
242500338;Communauté de communes du Grand Pontarlier;25
242600534;Communauté de communes du Diois;26
200040491;Communauté de communes Porte de DrômArdèche;26
242600492;Communauté de communes Dieulefit-Bourdeaux;26
200068781;Communauté d'agglomération Valence Romans Agglo;26
200040459;Communauté d'agglomération Montélimar Agglomération;26
242600252;Communauté de communes du Val de Drôme en Biovallée;26
200040509;Communauté de communes du Crestois et de Pays de Saillans Cœur de Drôme;26
200068229;Communauté de communes des Baronnies en Drôme Provençale;26
200042901;Communauté de communes Drôme Sud Provence;26
200067767;Communauté de communes du Royans-Vercors;26
200066413;Communauté de communes Intercom Bernay Terres de Normandie;27
200071454;Communauté d'agglomération Evreux Portes de Normandie;27
200089456;Communauté d'agglomération Seine-Eure;27
200072312;Communauté d'agglomération Seine Normandie Agglomération;27
200066405;Communauté de communes Roumois Seine;27
200066462;Communauté de communes Interco Normandie Sud Eure;27
200071843;Communauté de communes du Vexin Normand;27
200070142;Communauté de communes Lyons Andelle;27
200065787;Communauté de communes de Pont-Audemer / Val de Risle;27
200066017;Communauté de communes Lieuvin Pays d'Auge;27
242700276;Communauté de communes du Pays de Conches;27
242700607;Communauté de communes du Pays du Neubourg;27
200040277;Communauté d'agglomération Agglo du Pays de Dreux;28
200033181;Communauté d'agglomération Chartres Métropole;28
242852465;Communauté de communes du Bonnevalais;28
200070159;Communauté de communes Cœur de Beauce;28
200006971;Communauté de communes du Perche;28
200069961;Communauté de communes du Grand Châteaudun;28
200069953;Communauté de communes des Portes Euréliennes d'Île-de-France;28
200058360;Communauté de communes entre Beauce et Perche;28
200070167;Communauté de communes Terres de Perche;28
200069912;Communauté de communes des Forêts du Perche;28
200066868;Communauté de communes Presqu'île de Crozon-Aulne maritime;29
242900694;Communauté d'agglomération Quimperlé Communauté;29
242900629;Communauté de communes Cap Sizun - Pointe du Raz;29
242900660;Communauté de communes du Pays Fouesnantais;29
200067197;Communauté de communes Monts d'Arrée Communauté;29
242900751;Communauté de communes du Pays de Landivisiau;29
242900314;Brest Métropole;29
242900835;Communauté d'agglomération Morlaix Communauté;29
242900553;Communauté de communes du Pays des Abers;29
242900074;Communauté de communes du Pays d'Iroise;29
200068120;Communauté d'agglomération Quimper Bretagne Occidentale;29
242900793;Communauté de communes Communauté Lesneven Côte des Légendes;29
242900744;Communauté de communes Poher communauté;29
200067247;Communauté de communes Pleyben-Châteaulin-Porzay;29
242900561;Communauté de communes de Haute Cornouaille;29
200067072;Communauté de communes Haut-Léon Communauté;29
242900702;Communauté de communes du Pays Bigouden Sud;29
242900769;Communauté d'agglomération Concarneau Cornouaille Agglomération;29
242900801;Communauté d'agglomération du Pays de Landerneau-Daoulas;29
242900645;Communauté de communes Douarnenez Communauté;29
242900710;Communauté de communes du Haut Pays Bigouden;29
242010056;Communauté d'agglomération du Pays Ajaccien;2A
200038958;Communauté de communes de la Pieve de l'Ornano et du Taravo;2A
242000495;Communauté de communes de l'Alta Rocca;2A
200067049;Communauté de communes Spelunca-Liamone;2A
242010130;Communauté de communes du Sartenais Valinco Taravo;2A
242000503;Communauté de communes Celavu-Prunelli;2A
200040764;Communauté de communes du Sud Corse;2A
200015162;Communauté de communes de l'Oriente;2B
200073138;Communauté de communes Pasquale Paoli;2B
242020105;Communauté de communes de Calvi Balagne;2B
200073120;Communauté de communes Nebbiu - Conca d'Oro;2B
200042943;Communauté de communes du Cap Corse;2B
242000354;Communauté d'agglomération de Bastia;2B
200073104;Communauté de communes de l'Île-Rousse - Balagne;2B
200036499;Communauté de communes de Marana-Golo;2B
200073252;Communauté de communes de la Castagniccia-Casinca;2B
242020071;Communauté de communes du Centre Corse;2B
200034205;Communauté de communes de la Costa Verde;2B
200033827;Communauté de communes de Fium'Orbu Castellu;2B
200034379;Communauté de communes Pays d'Uzès;30
200034411;Communauté de communes du Piémont Cévenol;30
243000650;Communauté de communes Terre de Camargue;30
243000569;Communauté de communes Rhony, Vistre, Vidourle;30
200034692;Communauté d'agglomération du Gard Rhodanien;30
243000593;Communauté de communes de Petite Camargue;30
200066918;Communauté d'agglomération Alès Agglomération;30
200035129;Communauté de communes de Cèze Cévennes;30
243000270;Communauté de communes du Pays Viganais;30
243000684;Communauté de communes du Pont du Gard;30
243000296;Communauté de communes du Pays de Sommières;30
243000585;Communauté de communes Beaucaire Terre d'Argence;30
243000643;Communauté d'agglomération de Nîmes Métropole;30
200034601;Communauté de communes Causses Aigoual Cévennes;30
200072643;Communauté de communes Cœur et Coteaux du Comminges;31
200071298;Communauté de communes des Terres du Lauragais;31
243100518;Toulouse Métropole;31
243100633;Communauté d'agglomération du Sicoval;31
200072635;Communauté de communes Pyrénées Haut Garonnaises;31
200073146;Communauté de communes Cagire Garonne Salat;31
200068807;Communauté de communes du Bassin Auterivain Haut-Garonnais;31
200066819;Communauté de communes du Volvestre;31
243100732;Communauté de communes des Coteaux du Girou;31
200068815;Communauté de communes Cœur de Garonne;31
243100567;Communauté de communes Aux sources du Canal du Midi;31
200071314;Communauté de communes des Hauts-Tolosans;31
243100773;Communauté de communes Val'Aïgo;31
200068641;Communauté d'agglomération Le Muretain Agglo;31
200034957;Communauté de communes du Frontonnais;31
243100815;Communauté de communes des Coteaux Bellevue;31
243100781;Communauté de communes Le Grand Ouest Toulousain;31
200035632;Communauté de communes Armagnac Adour;32
200042372;Communauté de communes des Coteaux Arrats Gimone;32
200066926;Communauté d'agglomération Grand Auch Cœur de Gascogne;32
243200409;Communauté de communes du Bas Armagnac;32
200034726;Communauté de communes Bastides de Lomagne;32
243200508;Communauté de communes Bastides et Vallons du Gers;32
243200425;Communauté de communes Cœur d'Astarac en Gascogne;32
200072320;Communauté de communes Val de Gers;32
200023620;Communauté de communes de la Gascogne Toulousaine;32
200035756;Communauté de communes Astarac Arros en Gascogne;32
243200458;Communauté de communes du Grand Armagnac;32
243200607;Communauté de communes Artagnan de Fezensac;32
243200417;Communauté de communes de la Tenarèze;32
243200391;Communauté de communes de la Lomagne Gersoise;32
243200599;Communauté de communes du Saves;32
200070092;Communauté d'agglomération du Libournais;33
200044394;Communauté de communes du Réolais en Sud Gironde;33
243300316;Bordeaux Métropole;33
243301504;Communauté d'agglomération du Bassin d'Arcachon Nord;33
243300811;Communauté de communes de l'Estuaire;33
200069581;Communauté de communes Convergence Garonne;33
200069599;Communauté de communes rurales de l'Entre-Deux-Mers;33
243300563;Communauté d'agglomération Bassin d'Arcachon Sud (COBAS);33
243301447;Communauté de communes Médoc Estuaire;33
200035533;Communauté de communes du Grand Saint-Émilionnais;33
243301397;Communauté de communes du Fronsadais;33
200043982;Communauté de communes du Bazadais;33
243301223;Communauté de communes du Grand Cubzaguais;33
243301371;Communauté de communes du Pays Foyen;33
